region	bytes_sent
AWS/us-east-2	93265973404
US/California	72148572781
US/Washington	63657658193
US/Massachusetts	45679795672
KR/Seoul	44685860018
US/Georgia	31901488281
NL/North Holland	28041223276
VPN	26290673845
US/Maryland	24215192660
AWS/us-east-1	23637946336
JP/Aichi	22944896632
CA/Ontario	22147295012
GitHub	14438314800
GCP/us-central1	6016393550
CA/Quebec	5710158008
CN/Shanghai	4619502944
FR/Provence-Alpes-Côte d'Azur	3006674717
GB/England	2240659512
HK/Hong Kong	1818580792
US/Michigan	1659232999
ES/Madrid	1483341741
US/Virginia	970053112
AU/New South Wales	690660301
GCP/us-east1	638578880
PT/Lisbon	417292376
CA/British Columbia	384389456
IT/Lombardy	321190136
SA/Mecca Region	297830352
AWS/ap-southeast-1	289081584
HU/Budapest	228611382
US/Texas	198553568
US/Indiana	152282416
IN/Maharashtra	125262016
US/Pennsylvania	104960136
US/Tennessee	99276784
FR/Île-de-France	99276784
US/Arizona	99276784
US/Rhode Island	96948800
IN/Punjab	62631008
VN/Ho Chi Minh	58406072
VN/Kiên Giang Province	58406072
CN/Tianjin	51519776
SE/Stockholm	51519776
DE/Thuringia	45326612
US/New York	36163968
